SDB BB KHTN KHXH
BD1200001 11.000000 0.000000 19.000000
BD1200002 18.450001 18.750000 0.000000
BD1200003 15.549999 0.000000 22.250000
BD1200004 20.049999 18.000000 0.000000
BD1200005 23.500000 16.750000 0.000000
BD1200006 12.250000 0.000000 11.750000
BD1200007 18.250000 17.500000 0.000000
BD1200008 18.000000 19.250000 0.000000
BD1200009 15.700000 16.000000 18.000000
BD1200010 16.000000 10.250000 17.500000
BD1200011 19.850000 14.500000 0.000000
BD1200012 16.150000 13.750000 20.750000
BD1200013 7.800000 0.000000 2.750000
BD1200014 11.400000 8.750000 17.000000
BD1200015 13.700000 0.000000 14.250000
BD1200016 17.750000 18.500000 0.000000
BD1200017 16.250000 16.500000 0.000000
BD1200018 18.850000 15.000000 0.000000
BD1200019 11.700001 9.750000 13.750000
BD1200020 22.750000 18.250000 0.000000
BD1200021 11.850000 0.000000 12.750000
BD1200022 8.650000 0.000000 15.000000
BD1200024 17.350000 13.250000 0.000000
BD1200025 6.000000 0.000000 8.500000
BD1200026 9.950000 0.000000 12.500000
BD1200027 15.799999 0.000000 18.000000
BD1200028 17.200001 0.000000 19.000000
BD1200029 13.850000 10.250000 19.250000
BD1200030 15.099999 12.250000 15.500000
BD1200031 19.000000 18.500000 0.000000
BD1200032 16.049999 0.000000 19.500000
BD1200033 19.850000 20.500000 0.000000
BD1200034 15.000000 12.000000 18.250000
BD1200035 15.950000 0.000000 21.250000
BD1200036 13.400001 0.000000 18.000000
BD1200037 16.850000 17.000000 0.000000
BD1200038 16.599998 0.000000 12.750000
BD1200039 16.650000 8.250000 15.500000
BD1200040 13.700000 11.250000 18.250000
BD1200041 12.299999 0.000000 14.250000
BD1200042 13.550000 12.000000 18.750000
BD1200043 8.400000 0.000000 15.500000
BD1200044 20.500000 17.000000 0.000000
BD1200045 18.799999 15.750000 0.000000
BD1200046 20.200001 0.000000 23.250000
BD1200047 11.350000 10.750000 0.000000
BD1200048 18.349998 20.750000 0.000000
BD1200049 16.300001 14.750000 0.000000
BD1200050 14.049999 0.000000 19.500000
BD1200051 7.300000 0.000000 10.250000
BD1200052 12.799999 0.000000 19.750000
BD1200053 15.450001 16.250000 0.000000
BD1200054 20.850000 23.500000 0.000000
BD1200055 17.450001 0.000000 15.250000
BD1200056 13.600000 19.000000 0.000000
BD1200057 18.299999 16.500000 0.000000
BD1200058 15.800000 10.750000 16.250000
BD1200059 12.500000 0.000000 15.000000
BD1200060 14.050000 0.000000 14.750000
BD1200061 17.450001 13.500000 16.750000
BD1200062 15.799999 15.250000 14.250000
BD1200063 13.200000 10.000000 14.250000
BD1200064 22.500000 0.000000 21.500000
BD1200065 10.450000 9.250000 10.250000
BD1200066 19.000000 0.000000 18.750000
BD1200067 10.400000 0.000000 9.500000
BD1200068 20.600000 0.000000 22.500000
BD1200069 13.550000 0.000000 17.000000
BD1200070 12.500000 0.000000 17.250000
BD1200071 13.000000 0.000000 15.750000
BD1200072 10.200000 7.500000 13.500000
BD1200073 10.800000 0.000000 18.000000
BD1200074 8.950000 8.250000 16.750000
BD1200075 21.250000 17.500000 0.000000
BD1200076 16.150000 14.000000 18.500000
BD1200077 13.950001 15.000000 0.000000
BD1200078 17.250000 16.750000 0.000000
BD1200079 16.650002 14.250000 0.000000
BD1200080 18.350000 17.500000 0.000000
BD1200081 13.500000 13.250000 21.750000
BD1200082 10.800000 0.000000 17.250000
BD1200083 13.349999 0.000000 16.250000
BD1200084 11.799999 0.000000 15.500000
BD1200085 16.500000 20.250000 0.000000
BD1200086 17.200001 18.750000 0.000000
BD1200087 10.299999 0.000000 13.000000
BD1200088 12.799999 8.000000 15.250000
BD1200089 8.600000 0.000000 16.000000
BD1200090 12.250000 0.000000 16.750000
BD1200091 15.400001 0.000000 14.250000
BD1200092 20.500000 16.250000 0.000000
BD1200093 17.950001 18.750000 0.000000
BD1200094 17.150000 13.750000 0.000000
BD1200095 15.150000 12.250000 14.750000
BD1200096 20.549999 0.000000 18.000000
BD1200097 15.650000 16.250000 0.000000
BD1200098 11.400001 0.000000 12.250000
BD1200099 11.550000 0.000000 12.000000
BD1200100 21.150000 18.750000 0.000000
BD1200101 12.600000 12.500000 13.000000
BD1200102 6.700000 0.000000 14.250000
BD1200103 10.600000 0.000000 13.250000
BD1200104 16.450001 0.000000 16.250000
BD1200105 10.800000 0.000000 6.500000
BD1200106 3.900000 0.000000 7.000000
BD1200107 11.200001 0.000000 16.500000
BD1200108 16.700001 12.500000 0.000000
BD1200109 12.300000 12.250000 18.000000
BD1200110 8.250000 11.250000 15.250000
BD1200111 8.250000 0.000000 14.750000
BD1200112 18.250000 13.250000 20.250000
BD1200113 13.800000 8.750000 18.250000
BD1200114 14.549999 0.000000 19.000000
BD1200115 18.599998 0.000000 21.500000
BD1200116 17.549999 0.000000 21.250000
BD1200117 11.500000 0.000000 14.750000
BD1200118 17.100000 12.250000 0.000000
BD1200119 12.900000 0.000000 18.750000
BD1200120 12.450001 0.000000 20.750000
BD1200121 14.750000 0.000000 18.500000
BD1200122 16.900000 15.250000 0.000000
BD1200123 15.000000 13.500000 0.000000
BD1200124 12.050000 6.750000 14.500000
BD1200125 13.500000 0.000000 18.000000
BD1200126 10.350000 0.000000 10.250000
BD1200127 18.799999 14.250000 0.000000
BD1200128 19.600000 17.500000 0.000000
BD1200129 15.450000 14.500000 0.000000
BD1200130 15.400001 9.000000 18.000000
BD1200131 8.900000 0.000000 15.000000
BD1200132 16.050001 17.000000 0.000000
BD1200133 13.500000 0.000000 16.750000
BD1200134 23.299999 0.000000 20.000000
BD1200135 22.450001 20.750000 0.000000
BD1200136 12.150000 0.000000 15.000000
BD1200137 14.150000 0.000000 18.000000
BD1200139 13.500000 14.250000 0.000000
BD1200140 3.250000 0.000000 4.250000
BD1200141 11.650001 0.000000 10.250000
BD1200142 16.200001 0.000000 23.500000
BD1200143 15.200000 0.000000 20.000000
BD1200144 15.250000 16.250000 19.500000
BD1200145 7.600000 0.000000 11.250000
BD1200146 16.900000 17.750000 0.000000
BD1200147 17.100000 16.250000 16.000000
BD1200148 19.799999 16.250000 0.000000
BD1200149 13.150000 0.000000 17.500000
BD1200150 14.150000 0.000000 20.750000
BD1200151 19.900000 15.250000 0.000000
BD1200152 14.900000 15.250000 0.000000
BD1200153 18.900000 16.000000 18.000000
BD1200154 16.450001 0.000000 19.000000
BD1200155 11.300000 0.000000 15.500000
BD1200156 15.500000 16.250000 0.000000
BD1200157 10.450000 0.000000 16.750000
BD1200158 19.200001 0.000000 22.000000
BD1200159 18.950001 0.000000 22.250000
BD1200161 11.850000 9.750000 19.250000
BD1200162 11.650001 0.000000 16.750000
BD1200163 20.900000 18.250000 0.000000
BD1200164 17.450001 0.000000 23.000000
BD1200165 12.700001 8.250000 16.250000
BD1200166 13.900001 0.000000 18.000000
BD1200167 18.600000 0.000000 25.250000
BD1200168 10.550000 8.500000 15.750000
BD1200169 15.500000 18.500000 0.000000
BD1200170 11.799999 0.000000 18.000000
BD1200171 16.000000 0.000000 21.000000
BD1200172 17.350000 15.000000 0.000000
BD1200173 13.100000 0.000000 14.000000
BD1200174 14.650000 14.250000 0.000000
BD1200175 13.049999 0.000000 13.750000
BD1200176 16.000000 0.000000 17.250000
BD1200177 12.400000 0.000000 16.250000
BD1200178 8.400000 0.000000 6.500000
BD1200179 18.250000 14.250000 18.250000
BD1200180 13.100000 13.500000 0.000000
BD1200181 15.200001 9.500000 0.000000
BD1200182 10.750000 0.000000 19.250000
BD1200183 16.750000 0.000000 19.000000
BD1200184 13.400000 0.000000 21.000000
BD1200185 14.400000 15.500000 16.750000
BD1200186 10.750000 8.750000 13.500000
BD1200187 10.950001 0.000000 14.500000
BD1200188 12.650000 0.000000 19.000000
BD1200189 9.850000 9.000000 16.750000
BD1200190 19.250000 0.000000 20.750000
BD1200191 17.200001 0.000000 17.750000
BD1200192 8.799999 0.000000 12.000000
BD1200193 20.799999 0.000000 15.000000
BD1200194 12.400000 8.500000 18.750000
BD1200195 16.099998 0.000000 18.500000
BD1200196 19.700001 14.500000 0.000000
BD1200197 19.500000 17.750000 0.000000
BD1200198 13.100000 9.750000 17.000000
BD1200199 11.800000 14.750000 0.000000
BD1200200 19.600000 18.000000 0.000000
BD1200201 17.549999 18.750000 0.000000
BD1200202 19.049999 16.250000 0.000000
BD1200203 18.049999 0.000000 19.750000
BD1200204 14.100000 0.000000 17.500000
BD1200205 18.350000 14.750000 0.000000
BD1200206 7.750000 0.000000 14.500000
BD1200207 13.750000 0.000000 15.750000
BD1200208 15.700000 12.500000 0.000000
BD1200209 22.100000 0.000000 21.000000
BD1200210 13.599999 12.250000 0.000000
BD1200211 16.549999 13.750000 0.000000
BD1200212 14.250000 12.250000 0.000000
BD1200213 16.400000 0.000000 19.000000
BD1200214 17.750000 15.500000 0.000000
BD1200215 15.250000 11.500000 19.500000
BD1200216 15.650000 14.500000 0.000000
BD1200217 15.850000 16.750000 0.000000
BD1200218 17.100000 0.000000 18.250000
BD1200219 23.500000 18.000000 0.000000
BD1200220 5.450000 0.000000 2.750000
BD1200221 17.950001 17.250000 0.000000
BD1200222 20.799999 19.500000 0.000000
BD1200223 21.200001 16.750000 0.000000
BD1200224 18.400000 0.000000 24.000000
BD1200225 13.250000 8.000000 13.500000
BD1200226 16.150000 17.000000 0.000000
BD1200227 13.700000 0.000000 18.000000
BD1200228 7.050000 0.000000 11.000000
BD1200229 12.299999 0.000000 16.250000
BD1200230 19.200001 13.500000 0.000000
BD1200231 13.849999 0.000000 16.000000
BD1200232 17.799999 17.000000 0.000000
BD1200233 15.850000 16.750000 0.000000
BD1200234 16.450001 11.000000 0.000000
BD1200235 9.700000 0.000000 15.000000
BD1200236 12.799999 0.000000 19.500000
BD1200237 17.900000 17.500000 0.000000
BD1200238 16.049999 16.500000 0.000000
BD1200239 13.100000 12.750000 16.250000
BD1200240 12.099999 9.500000 14.000000
BD1200241 12.800000 0.000000 16.250000
BD1200242 23.150000 17.750000 0.000000
BD1200243 18.750000 14.250000 0.000000
BD1200244 17.100000 8.500000 16.750000
BD1200245 13.400000 0.000000 23.000000
BD1200246 15.300000 0.000000 19.500000
BD1200247 17.500000 9.500000 0.000000
BD1200248 19.000000 15.000000 0.000000
BD1200249 21.000000 0.000000 19.750000
BD1200250 10.700000 0.000000 18.750000
BD1200251 13.650000 15.750000 0.000000
BD1200252 17.400000 0.000000 22.500000
BD1200253 16.500000 0.000000 18.250000
BD1200254 6.950000 0.000000 2.500000
BD1200255 15.100000 14.500000 0.000000
BD1200256 11.750000 0.000000 17.750000
BD1200257 19.700001 16.000000 0.000000
BD1200258 17.250000 18.500000 0.000000
BD1200259 7.800000 0.000000 16.500000
BD1200260 12.750000 7.250000 16.500000
BD1200261 15.950000 0.000000 19.500000
BD1200262 15.400000 17.500000 0.000000
BD1200263 10.500000 0.000000 13.250000
BD1200264 13.400000 0.000000 11.000000
BD1200265 13.100000 8.000000 14.250000
BD1200266 11.300000 0.000000 18.750000
BD1200267 11.000000 0.000000 14.000000
BD1200268 19.500000 20.000000 0.000000
BD1200269 7.200000 0.000000 10.000000
BD1200270 15.000000 0.000000 16.000000
BD1200271 16.200001 13.750000 22.250000
BD1200272 16.299999 0.000000 14.750000
BD1200273 20.450001 15.500000 0.000000
BD1200274 13.550000 0.000000 17.500000
BD1200275 17.900000 0.000000 17.000000
BD1200276 18.650000 19.500000 0.000000
BD1200277 16.799999 14.250000 0.000000
BD1200278 20.000000 0.000000 18.250000
BD1200279 12.850000 0.000000 17.500000
BD1200280 18.450001 0.000000 17.500000
BD1200281 18.200001 11.000000 0.000000
